image_id,block_size,num_masks,mask_type,noise_level,MSE,MAE,PSNR,SSIM,LPIPS,L2_norm,Avg_measurement_MSE,mask_prob,method,protein
4,1,1,fourier_ring,0.0,0.0979527682065963,0.2490495145320892,16.1104325238525,0.1320035840070112,0.2690961360931396,40.0606803894043,6.106296837060654e-07,0.1,dct,EMPIAR10076_128
5,1,1,fourier_ring,0.0,0.0861196890473365,0.2329491227865219,16.669575314371215,0.1445724982734359,0.2502438724040985,37.563079833984375,5.904511795051803e-07,0.1,dct,EMPIAR10076_128
6,1,1,fourier_ring,0.0,0.0927553623914718,0.2423976957798004,16.34720953244208,0.1439944017992454,0.379496157169342,38.98337936401367,5.534715228350251e-07,0.1,dct,EMPIAR10076_128
7,1,1,fourier_ring,0.0,0.0940684005618095,0.244136780500412,16.286162319021535,0.1587208267881461,0.2110339105129242,39.258331298828125,6.475909799519286e-07,0.1,dct,EMPIAR10076_128
8,1,1,fourier_ring,0.0,0.0911356508731842,0.2407113313674926,16.423717119546666,0.1562496532060437,0.1917942017316818,38.64151382446289,6.056995403014298e-07,0.1,dct,EMPIAR10076_128
9,1,1,fourier_ring,0.0,0.0927930921316146,0.2426982522010803,16.34544355277503,0.1438818091700859,0.338017463684082,38.99130630493164,5.898361337131064e-07,0.1,dct,EMPIAR10076_128
10,1,1,fourier_ring,0.0,0.0882867872714996,0.2364777028560638,16.56164298798377,0.1488199407631881,0.2407549321651458,38.03275680541992,5.957832058811618e-07,0.1,dct,EMPIAR10076_128
11,1,1,fourier_ring,0.0,0.08456352353096,0.231465995311737,16.748769325125473,0.156059534105593,0.2376463115215301,37.22215270996094,6.060049031475501e-07,0.1,dct,EMPIAR10076_128
12,1,1,fourier_ring,0.0,0.0994632691144943,0.2504768669605255,16.04397250398238,0.137550203481332,0.3619030117988586,40.36838150024414,6.334830686682835e-07,0.1,dct,EMPIAR10076_128
13,1,1,fourier_ring,0.0,0.0852383077144622,0.2318204641342163,16.714251792291805,0.1378865511967967,0.2152853310108184,37.37036895751953,6.497244271486124e-07,0.1,dct,EMPIAR10076_128
14,1,1,fourier_ring,0.0,0.0913489162921905,0.2414434850215912,16.413566227890477,0.1469545109157946,0.2389822304248809,38.68669891357422,6.331555937322264e-07,0.1,dct,EMPIAR10076_128
15,1,1,fourier_ring,0.0,0.0872393473982811,0.235396459698677,16.613475691809853,0.1366211712798142,0.3408212065696716,37.80647277832031,6.836191914771916e-07,0.1,dct,EMPIAR10076_128
0,1,1,random_fourier,0.0,0.0727527439594268,0.215226873755455,17.40210586619956,0.2695254109917473,0.1706896275281906,34.52507781982422,2.546536563841073e-07,0.1,dct,EMPIAR10076_128
1,1,1,random_fourier,0.0,0.0845232009887695,0.2315687835216522,16.750840783994157,0.2595503083884591,0.2109158635139465,37.21327972412109,2.664453973011405e-07,0.1,dct,EMPIAR10076_128
2,1,1,random_fourier,0.0,0.0742897093296051,0.2172842025756836,17.311313057397896,0.2621245786235571,0.2121055722236633,34.88785934448242,2.4888623784136144e-07,0.1,dct,EMPIAR10076_128
3,1,1,random_fourier,0.0,0.0882871896028518,0.2376124262809753,16.561623225904196,0.2473173427493477,0.1904660016298294,38.03284454345703,2.4435900058961124e-07,0.1,dct,EMPIAR10076_128
4,1,1,random_fourier,0.0,0.0815524309873581,0.2281223088502884,16.90623088128823,0.2534577321390631,0.2231706827878952,36.5534553527832,2.3222609968343025e-07,0.1,dct,EMPIAR10076_128
5,1,1,random_fourier,0.0,0.0672226324677467,0.2065165936946869,17.74544497243762,0.2775061433428281,0.2194389700889587,33.186981201171875,2.3825936068533338e-07,0.1,dct,EMPIAR10076_128
6,1,1,random_fourier,0.0,0.0793016105890274,0.2240119278430938,17.027779640180704,0.2466827408211203,0.2617242336273193,36.04549407958984,2.540441244036629e-07,0.1,dct,EMPIAR10076_128
7,1,1,random_fourier,0.0,0.0801738873124122,0.2252518832683563,16.980270537986982,0.2597697093936366,0.1928954720497131,36.24319076538086,2.432889800729754e-07,0.1,dct,EMPIAR10076_128
8,1,1,random_fourier,0.0,0.0742019265890121,0.2172400951385498,17.3164483277476,0.2534991172324778,0.2018667608499527,34.86724090576172,2.536760632665392e-07,0.1,dct,EMPIAR10076_128
9,1,1,random_fourier,0.0,0.0785523802042007,0.2238897234201431,17.069006083189592,0.2615532794172727,0.2581478357315063,35.874813079833984,2.536174861234031e-07,0.1,dct,EMPIAR10076_128
10,1,1,random_fourier,0.0,0.0704805105924606,0.2123500704765319,17.539909503506212,0.2622252049451241,0.1684799939393997,33.981651306152344,2.5471163667134533e-07,0.1,dct,EMPIAR10076_128
11,1,1,random_fourier,0.0,0.0727688372135162,0.214961290359497,17.401145795272857,0.2563780586368261,0.2436499893665313,34.52889633178711,2.501579672298249e-07,0.1,dct,EMPIAR10076_128
12,1,1,random_fourier,0.0,0.0799241065979003,0.225054532289505,16.993821770843713,0.2842573559158002,0.2571642994880676,36.18669128417969,2.4461411385345855e-07,0.1,dct,EMPIAR10076_128
13,1,1,random_fourier,0.0,0.0681240856647491,0.2076823860406875,17.687592740392613,0.2724384759291329,0.1906400620937347,33.40875625610352,2.482091190358915e-07,0.1,dct,EMPIAR10076_128
